datetime,DO,PH,AMMONIA(mg/l),TEMP,NITRATE(PPM),TURBIDITY,feed_label
2022-02-01 00:00:00,8.21866,5.656,0.022088,22.91168,29.172,29.9592,1
2022-02-01 00:20:00,6.23826,5.858,0.071284,22.77,14.28,32.832,1
2022-02-01 00:40:00,6.33728,5.454,0.058232,22.73964,5.712,25.65,1
2022-02-01 01:00:00,10.00102,5.353,0.018072,22.33484,21.114,21.1356,1
2022-02-01 01:20:00,11.09024,5.05,0.06024,22.14256,7.446,24.2136,1
2022-02-01 01:40:00,6.04022,5.555,0.022088,22.1122,11.628,32.7294,1
2022-02-01 02:00:00,7.12944,5.555,0.048192,22.09196,9.486,21.9564,1
2022-02-01 02:20:00,9.60494,5.555,0.052208,21.84908,30.09,21.8538,1
2022-02-01 02:40:00,9.4069,5.858,0.081324,21.76812,26.724,24.8292,1
2022-02-01 03:00:00,11.8824,5.05,0.007028,21.71752,23.052,31.4982,1
2022-02-01 03:20:00,6.9314,6.06,0.07028,21.63656,14.892,24.9318,1
2022-02-01 03:40:00,11.28828,5.353,0.05522,21.52524,26.112,21.8538,1
2022-02-01 04:00:00,9.70396,5.151,0.04518,21.49488,26.01,29.0358,1
2022-02-01 04:20:00,9.30788,5.353,0.023092,21.42404,12.138,21.1356,1
2022-02-01 04:40:00,6.53532,6.06,0.0502,21.39368,6.732,29.9592,1
2022-02-01 05:00:00,9.30788,5.656,0.044176,21.57584,0.918,30.4722,1
2022-02-01 05:20:00,6.13924,5.858,0.089356,21.9604,19.38,27.8046,1
2022-02-01 05:40:00,7.52552,5.959,0.006024,21.98064,0.408,25.9578,1
2022-02-01 06:00:00,8.31768,6.06,0.021084,22.04136,6.426,32.832,1
2022-02-01 06:20:00,9.70396,5.858,0.036144,22.20328,26.214,20.007,1
2022-02-01 06:40:00,8.4167,5.252,0.039156,22.29436,5.508,24.7266,1
2022-02-01 07:00:00,6.13924,6.06,0.061244,22.40568,17.85,27.3942,1
2022-02-01 08:00:00,10.3971,5.151,0.094376,23.69092,3.672,19.2888,1
