NITRATE(PPM),PH,AMMONIA(mg/l),TEMP,DO,TURBIDITY,datetime,feed_window
29.172,5.656,0.022088,22.91168,8.21866,29.9592,2022-02-01 00:00:00,1
14.28,5.858,0.071284,22.77,6.23826,32.832,2022-02-01 00:20:00,2
5.712,5.454,0.058232,22.73964,6.33728,25.65,2022-02-01 00:40:00,2
9.486,5.555,0.048192,22.09196,7.12944,21.9564,2022-02-01 02:00:00,2
26.724,5.858,0.081324,21.76812,9.4069,24.8292,2022-02-01 02:40:00,1
26.112,5.353,0.05522,21.52524,11.28828,21.8538,2022-02-01 03:40:00,1
26.01,5.151,0.04518,21.49488,9.70396,29.0358,2022-02-01 04:00:00,1
12.138,5.353,0.023092,21.42404,9.30788,21.1356,2022-02-01 04:20:00,1
6.732,6.06,0.0502,21.39368,6.53532,29.9592,2022-02-01 04:40:00,2
0.918,5.656,0.044176,21.57584,9.30788,30.4722,2022-02-01 05:00:00,1
19.38,5.858,0.089356,21.9604,6.13924,27.8046,2022-02-01 05:20:00,2
0.408,5.959,0.006024,21.98064,7.52552,25.9578,2022-02-01 05:40:00,1
6.426,6.06,0.021084,22.04136,8.31768,32.832,2022-02-01 06:00:00,1
5.508,5.252,0.039156,22.29436,8.4167,24.7266,2022-02-01 06:40:00,1
17.85,6.06,0.061244,22.40568,6.13924,27.3942,2022-02-01 07:00:00,2
3.672,5.151,0.094376,23.69092,10.3971,19.2888,2022-02-01 08:00:00,1
13.362,5.555,0.06024,23.91356,10.19906,23.8032,2022-02-01 08:20:00,1
11.016,5.252,0.038152,24.09572,8.71376,20.007,2022-02-01 09:00:00,1
1.836,5.05,0.039156,24.1362,7.22846,19.2888,2022-02-01 09:20:00,2
18.054,5.959,0.056224,24.50052,9.50592,21.033,2022-02-01 10:00:00,1
10.914,5.858,0.06526,24.60172,10.79318,31.0878,2022-02-01 10:20:00,1
1.428,5.05,0.006024,24.6422,5.9412,32.7294,2022-02-01 10:40:00,2
11.628,5.454,0.061244,24.96604,7.52552,30.5748,2022-02-01 11:20:00,1
20.91,5.05,0.013052,24.98628,6.73336,34.0632,2022-02-01 11:40:00,2
12.75,5.858,0.053212,24.9964,6.04022,29.8566,2022-02-01 12:00:00,2
25.5,5.05,0.092368,25.4518,6.73336,30.0618,2022-02-01 12:40:00,2
28.05,5.656,0.089356,25.68456,11.8824,27.3942,2022-02-01 13:00:00,1
0.918,5.555,0.008032,26.12984,10.19906,25.2396,2022-02-01 13:20:00,1
29.682,5.353,0.089356,26.2614,8.71376,22.9824,2022-02-01 13:40:00,1
3.978,5.454,0.04518,26.17032,6.63434,22.6746,2022-02-01 14:00:00,2
15.606,5.05,0.091364,26.08936,11.09024,30.6774,2022-02-01 14:20:00,1
